City,County,2010 Census Population
Afton,Lincoln,1911
Albin,Laramie,181
Alpine,Lincoln,828
Baggs,Carbon,440
Bairoil,Sweetwater,106
Bar Nunn,Natrona,2213
Basin,Big Horn,1285
Bear River,Uinta,518
Big Piney,Sublette,552
Buffalo,Johnson,4585
Burlington,Big Horn,288
Burns,Laramie,301
Byron,Big Horn,593
Casper,Natrona,35316
Cheyenne,Laramie,59466
Chugwater,Platte,212
Clearmont,Sheridan,142
Cody,Park,9520
Cokeville,Lincoln,535
Cowley,Big Horn,655
Dayton,Sheridan,757
Deaver,Big Horn,178
Diamondville,Lincoln,737
Dixon,Carbon,97
Douglas,Converse,6120
Dubois,Fremont,971
East Thermopolis,Hot Springs,254
Edgerton,Natrona,195
Elk Mountain,Carbon,191
Evanston,Uinta,12359
Evansville,Natrona,2544
Fort Laramie,Goshen,230
Frannie,Park,157
Gillette,Campbell,29087
Glendo,Platte,205
Glenrock,Converse,2576
Grand Encampment,Carbon,450
Granger,Sweetwater,139
Green River,Sweetwater,12515
Greybull,Big Horn,1847
Guernsey,Platte,1147
Hanna,Carbon,841
Hartville,Platte,62
Hudson,Fremont,458
Hulett,Crook,383
Jackson,Teton,9577
Kaycee,Johnson,263
Kemmerer,Lincoln,2656
Kirby,Hot Springs,92
La Barge,Lincoln,551
La Grange,Goshen,448
Lander,Fremont,7487
Laramie,Albany,30816
Lingle,Goshen,468
Lost Springs,Converse,4
Lovell,Big Horn,2360
Lusk,Niobrara,1567
Lyman,Uinta,2115
Manderson,Big Horn,114
Manville,Niobrara,95
Marbleton,Sublette,1094
Medicine Bow,Carbon,284
Meeteetse,Park,327
Midwest,Natrona,404
Mills,Natrona,3461
Moorcroft,Crook,1009
Mountain View,Uinta,1286
Newcastle,Weston,3532
Opal,Lincoln,96
Pavillion,Fremont,231
Pine Bluffs,Laramie,1129
Pine Haven,Crook,490
Pinedale,Sublette,2030
Powell,Park,6314
Ranchester,Sheridan,855
Rawlins,Carbon,9259
Riverside,Carbon,52
Riverton,Fremont,10615
Rock River,Albany,245
Rock Springs,Sweetwater,23036
Rolling Hills,Converse,440
Saratoga,Carbon,1690
Sheridan,Sheridan,17444
Shoshoni,Fremont,649
Sinclair,Carbon,433
Star Valley Ranch,Lincoln,1503
Sundance,Crook,1182
Superior,Sweetwater,336
Ten Sleep,Washakie,260
Thayne,Lincoln,366
Thermopolis,Hot Springs,3009
Torrington,Goshen,6501
Upton,Weston,1100
Van Tassell,Niobrara,15
Wamsutter,Sweetwater,451
Wheatland,Platte,3627
Worland,Washakie,5487
Wright,Campbell,1807
Yoder,Goshen,151
